日期,身份別,多方交易口數,多方交易契約金額(百萬元),空方交易口數,空方交易契約金額(百萬元),多空交易口數淨額,多空交易契約金額淨額(百萬元),多方未平倉口數,多方未平倉契約金額(百萬元),空方未平倉口數,空方未平倉契約金額(百萬元),多空未平倉口數淨額,多空未平倉契約金額淨額(百萬元)
2012/7/3,外資及陸資,63220,37299,53400,26745,9820,10554,209902,70427,251828,57610,-41926,12817
2012/7/4,自營商,207513,23410,197549,23090,9964,320,176164,19425,218874,16455,-42710,2970
2012/7/4,投信,416,584,78,107,338,477,3055,4122,1349,1814,1706,2309
2012/7/4,外資及陸資,44852,26739,45444,24701,-592,2038,214775,73185,257401,58187,-42626,14998
2012/7/5,自營商,136144,15257,147891,13858,-11747,1399,178034,19714,232962,15222,-54928,4492
2012/7/5,投信,31,45,17,22,14,23,3077,4158,1357,1824,1720,2334
2012/7/5,外資及陸資,43244,21620,43003,21044,241,576,214179,74324,256735,58683,-42556,15641
2012/7/6,自營商,186546,27551,203100,28139,-16554,-588,188216,18479,259526,14554,-71310,3925
2012/7/6,投信,398,571,99,115,299,456,3408,4636,1389,1855,2019,2781
2012/7/6,外資及陸資,51123,26888,62035,31444,-10912,-4556,216791,72573,269947,61556,-53156,11017
2012/7/9,自營商,176214,22092,178059,22114,-1845,-22,198744,17475,271653,13551,-72909,3924
2012/7/9,投信,202,291,111,160,91,131,3365,4550,1255,1652,2110,2898
2012/7/9,外資及陸資,38717,27510,51027,28506,-12310,-996,216428,73311,281834,63370,-65406,9940
2012/7/10,自營商,264782,34810,284263,35019,-19481,-209,209324,19396,301654,15651,-92330,3745
2012/7/10,投信,179,248,119,171,60,77,3466,4656,1296,1703,2170,2953
2012/7/10,外資及陸資,62307,31619,78733,40015,-16426,-8396,215326,69611,295124,68153,-79798,1458
2012/7/11,自營商,196733,24026,201062,22440,-4329,1586,223793,21254,320470,15900,-96677,5354
2012/7/11,投信,282,373,20,25,262,348,3618,4865,1186,1561,2432,3305
2012/7/11,外資及陸資,46706,28922,49773,29431,-3067,-509,216834,68253,299879,67330,-83045,922
2012/7/12,自營商,336088,41535,389418,41048,-53330,487,223606,23195,372983,17376,-149377,5819
2012/7/12,投信,67,89,213,302,-146,-213,3588,4750,1302,1706,2286,3044
2012/7/12,外資及陸資,102454,46876,106099,58525,-3645,-11649,232141,61995,316884,72757,-84743,-10762
2012/7/13,自營商,259081,24609,271781,26500,-12700,-1891,235178,23162,396832,19213,-161654,3949
2012/7/13,投信,130,181,452,619,-322,-438,3648,4841,1684,2237,1964,2604
2012/7/13,外資及陸資,89695,46538,87835,47852,1860,-1314,237186,61176,320052,73248,-82866,-12071
2012/7/16,自營商,248302,32946,272126,31013,-23824,1933,239548,25173,424807,19236,-185259,5937
2012/7/16,投信,1575,2189,1339,1875,236,314,3902,5162,1710,2253,2192,2909
2012/7/16,外資及陸資,89161,60923,93549,66697,-4388,-5774,236164,56306,323439,74110,-87275,-17804
2012/7/17,自營商,406411,46134,360961,48742,45450,-2608,290160,28874,428571,25502,-138411,3373
2012/7/17,投信,2095,2829,2183,2937,-88,-108,3872,5136,1768,2315,2104,2821
2012/7/17,外資及陸資,119111,91751,125744,87671,-6633,4080,242323,53690,338163,67521,-95840,-13831
2012/7/18,自營商,275111,33649,291020,34475,-15909,-826,78842,10743,156047,11870,-77205,-1127
2012/7/18,投信,1396,1788,1319,1619,77,169,3933,5187,1749,2262,2184,2925
2012/7/18,外資及陸資,76444,47024,95578,52447,-19134,-5423,126054,39652,200993,53481,-74939,-13829
2012/7/19,自營商,175390,31256,169413,29108,5977,2148,106605,13673,179072,12623,-72467,1050
2012/7/19,投信,157,209,71,99,86,110,3996,5366,1726,2274,2270,3092
2012/7/19,外資及陸資,74104,43925,51018,29958,23086,13967,140691,47770,193891,47727,-53200,43
2012/7/20,自營商,100092,13573,102830,13911,-2738,-338,119055,14083,194260,13379,-75205,703
2012/7/20,投信,29,41,81,96,-52,-55,4017,5389,1799,2356,2218,3033
